year,month,day,hour,load_forecast_mw
2010,Jul,10,0,6151
2010,Jul,10,1,5565
2010,Jul,10,2,5028
2010,Jul,10,3,4847
2010,Jul,10,4,4808
2010,Jul,10,5,4875
2010,Jul,10,6,5046
2010,Jul,10,7,5496
2010,Jul,10,8,6076
2010,Jul,10,9,6627
2010,Jul,10,10,7048
2010,Jul,10,11,7318
2010,Jul,10,12,7486
2010,Jul,10,13,7587
2010,Jul,10,14,7664
2010,Jul,10,15,7723
2010,Jul,10,16,7752
2010,Jul,10,17,7721
2010,Jul,10,18,7625
2010,Jul,10,19,7502
2010,Jul,10,20,7433
2010,Jul,10,21,7288
2010,Jul,10,22,6894
2010,Jul,10,23,6353
2010,Jul,11,0,5972
2010,Jul,11,1,5780
2010,Jul,11,2,5497
2010,Jul,11,3,5323
2010,Jul,11,4,5240
2010,Jul,11,5,5216
2010,Jul,11,6,5291
2010,Jul,11,7,5655
2010,Jul,11,8,6223
2010,Jul,11,9,6786
2010,Jul,11,10,7235
2010,Jul,11,11,7560
2010,Jul,11,12,7775
2010,Jul,11,13,7925
2010,Jul,11,14,8017
2010,Jul,11,15,8080
2010,Jul,11,16,8121
2010,Jul,11,17,8129
2010,Jul,11,18,8062
2010,Jul,11,19,7962
2010,Jul,11,20,7918
2010,Jul,11,21,7796
2010,Jul,11,22,7484
2010,Jul,11,23,6962
2010,Jul,12,0,6314
2010,Jul,12,1,6157
2010,Jul,12,2,5931
2010,Jul,12,3,5840
2010,Jul,12,4,5937
2010,Jul,12,5,6240
2010,Jul,12,6,6685
2010,Jul,12,7,7178
2010,Jul,12,8,7601
2010,Jul,12,9,7913
2010,Jul,12,10,8140
2010,Jul,12,11,8288
2010,Jul,12,12,8380
2010,Jul,12,13,8442
2010,Jul,12,14,8476
2010,Jul,12,15,8495
2010,Jul,12,16,8497
2010,Jul,12,17,8470
2010,Jul,12,18,8395
2010,Jul,12,19,8293
2010,Jul,12,20,8231
2010,Jul,12,21,8113
2010,Jul,12,22,7712
2010,Jul,12,23,7130
2010,Jul,13,0,6618
2010,Jul,13,1,6318
2010,Jul,13,2,6094
2010,Jul,13,3,6004
2010,Jul,13,4,6100
2010,Jul,13,5,6396
2010,Jul,13,6,6832
2010,Jul,13,7,7312
2010,Jul,13,8,7718
2010,Jul,13,9,8016
2010,Jul,13,10,8226
2010,Jul,13,11,8360
2010,Jul,13,12,8441
2010,Jul,13,13,8491
2010,Jul,13,14,8519
2010,Jul,13,15,8535
2010,Jul,13,16,8538
2010,Jul,13,17,8519
2010,Jul,13,18,8456
2010,Jul,13,19,8366
2010,Jul,13,20,8310
2010,Jul,13,21,8190
2010,Jul,13,22,7788
2010,Jul,13,23,7191
2010,Jul,14,0,6656
2010,Jul,14,1,6317
2010,Jul,14,2,6100
2010,Jul,14,3,6011
2010,Jul,14,4,6104
2010,Jul,14,5,6394
2010,Jul,14,6,6821
2010,Jul,14,7,7292
2010,Jul,14,8,7694
2010,Jul,14,9,7992
2010,Jul,14,10,8204
2010,Jul,14,11,8342
2010,Jul,14,12,8427
2010,Jul,14,13,8483
2010,Jul,14,14,8513
2010,Jul,14,15,8531
2010,Jul,14,16,8534
2010,Jul,14,17,8510
2010,Jul,14,18,8443
2010,Jul,14,19,8348
2010,Jul,14,20,8290
2010,Jul,14,21,8142
2010,Jul,14,22,7712
2010,Jul,14,23,7083
2010,Jul,15,0,6523
2010,Jul,15,1,6153
2010,Jul,15,2,5937
2010,Jul,15,3,5850
2010,Jul,15,4,5942
2010,Jul,15,5,6231
2010,Jul,15,6,6657
2010,Jul,15,7,7134
2010,Jul,15,8,7548
2010,Jul,15,9,7861
2010,Jul,15,10,8091
2010,Jul,15,11,8246
2010,Jul,15,12,8345
2010,Jul,15,13,8415
2010,Jul,15,14,8455
2010,Jul,15,15,8477
2010,Jul,15,16,8479
2010,Jul,15,17,8445
2010,Jul,15,18,8360
2010,Jul,15,19,8251
2010,Jul,15,20,8185
2010,Jul,15,21,8025
2010,Jul,15,22,7582
2010,Jul,15,23,6956
2010,Jul,16,0,6410
2010,Jul,16,1,6070
2010,Jul,16,2,5852
2010,Jul,16,3,5765
2010,Jul,16,4,5858
2010,Jul,16,5,6148
2010,Jul,16,6,6578
2010,Jul,16,7,7061
2010,Jul,16,8,7482
2010,Jul,16,9,7803
2010,Jul,16,10,8042
2010,Jul,16,11,8203
2010,Jul,16,12,8308
2010,Jul,16,13,8383
2010,Jul,16,14,8428
2010,Jul,16,15,8451
2010,Jul,16,16,8452
2010,Jul,16,17,8414
2010,Jul,16,18,8323
2010,Jul,16,19,8208
2010,Jul,16,20,8139
2010,Jul,16,21,7901
2010,Jul,16,22,7361
2010,Jul,16,23,6605
